OriginalName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	canonicalName	authorship	usageKey	acceptedUsageKey
Rana	Rana Linnaeus, 1758	2422253	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana		Rana	Linnaeus, 1758	2422253	
Rana dalmatina	Rana dalmatina Fitzinger, 1838	2426760	EXACT	99	ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana dalmatina	Rana dalmatina	Fitzinger, 1838	2426760	
Rana graeca	Rana graeca Boulenger, 1891	2426795	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana graeca	Rana graeca	Boulenger, 1891	2426795	
Rana ridibunda	Rana ridibunda Pallas, 1771	2426662	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax ridibundus	Rana ridibunda	Pallas, 1771	2426662	2426661
Rattus	Rattus Fischer, 1803	2439223	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus		Rattus	Fischer, 1803	2439223	
Rattus  norvegicus	Rattus norvegicus (Berkenhout, 1769)	2439261	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus	Rattus norvegicus	(Berkenhout, 1769) 	2439261	
Rhinolophus	Rhinolophus LacГ©pГЁde, 1799	2432611	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus		Rhinolophus	LacГ©pГЁde, 1799	2432611	
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum (Schreber, 1774)	2432655	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus ferrumequinum	Rhinolophus ferrumequinum	(Schreber, 1774) 	2432655	
Rodentia	Rodentia	1459	EXACT	96	ACCEPTED	ORDER	Animalia	Chordata	Mammalia	Rodentia				Rodentia		1459	
Salamandra salamandra	Salamandra salamandra (Linnaeus, 1758)	2431776	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra	Salamandra salamandra	(Linnaeus, 1758) 	2431776	
Serpentes	Serpentes	11205692	EXACT	95	ACCEPTED	FAMILY	Animalia	Chordata			Serpentes			Serpentes		11205692	
Soricidae	Soricidae	5534	EXACT	96	ACCEPTED	FAMILY	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae			Soricidae		5534	
Strix  aluco	Strix aluco Linnaeus, 1758	9282206	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Strigiformes	Strigidae	Strix	Strix aluco	Strix aluco	Linnaeus, 1758	9282206	
Sylvia	Sylvia Scopoli, 1769	2492941	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia		Sylvia		2492941	
